Dataset | March Current Population Survey | Cross-sectional representative sample of more than 50,000 U.S. civilian households containing detailed questions about household composition and sources of income. | [('Cross-sectional', 'JJ'), ('representative', 'JJ'), ('sample', 'NN'), ('of', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('50,000', 'CD'), ('U.S.', 'NNP'), ('civilian', 'JJ'), ('households', 'NNS'), ('containing', 'VBG'), ('detailed', 'JJ'), ('questions', 'NNS'), ('about', 'IN'), ('household', 'NN'), ('composition', 'NN'), ('and', 'CC'), ('sources', 'NNS'), ('of', 'IN'), ('income', 'NN'), ('.', '.')]
Dataset | Competitive Media Reporting | …some of the media channels are not used frequently by personal computer firms; however the researcher aggregates the media into newspaper, magazine, television, and radio categories. | [('…some', 'NN'), ('of', 'IN'), ('the', 'DT'), ('media', 'NNS'), ('channels', 'NNS'), ('are', 'VBP'), ('not', 'RB'), ('used', 'VBN'), ('frequently', 'RB'), ('by', 'IN'), ('personal', 'JJ'), ('computer', 'NN'), ('firms', 'NNS'), (';', ':'), ('however', 'RB'), ('the', 'DT'), ('researcher', 'NN'), ('aggregates', 'VBZ'), ('the', 'DT'), ('media', 'NNS'), ('into', 'IN'), ('newspaper', 'NN'), (',', ','), ('magazine', 'NN'), (',', ','), ('television', 'NN'), (',', ','), ('and', 'CC'), ('radio', 'NN'), ('categories', 'NNS'), ('.', '.')]
Dataset | Competitive Media Reporting | …these data are not broken down by sector, but intead these data categorize advertising across product types, which, in some instances, allows the researcher to isolate non-home expenditures; for example, some expenditures are reported with detail, while others are reported generally, and as a result, the ad measure includes some expenditures on non-personal computer systems intended for non-home sectors. | [('…these', 'JJ'), ('data', 'NNS'), ('are', 'VBP'), ('not', 'RB'), ('broken', 'VBN'), ('down', 'RP'), ('by', 'IN'), ('sector', 'NN'), (',', ','), ('but', 'CC'), ('intead', 'VBP'), ('these', 'DT'), ('data', 'NNS'), ('categorize', 'VBP'), ('advertising', 'NN'), ('across', 'IN'), ('product', 'NN'), ('types', 'NNS'), (',', ','), ('which', 'WDT'), (',', ','), ('in', 'IN'), ('some', 'DT'), ('instances', 'NNS'), (',', ','), ('allows', 'VBZ'), ('the', 'DT'), ('researcher', 'NN'), ('to', 'TO'), ('isolate', 'VB'), ('non-home', 'JJ'), ('expenditures', 'NNS'), (';', ':'), ('for', 'IN'), ('example', 'NN'), (',', ','), ('some', 'DT'), ('expenditures', 'NNS'), ('are', 'VBP'), ('reported', 'VBN'), ('with', 'IN'), ('detail', 'NN'), (',', ','), ('while', 'IN'), ('others', 'NNS'), ('are', 'VBP'), ('reported', 'VBN'), ('generally', 'RB'), (',', ','), ('and', 'CC'), ('as', 'IN'), ('a', 'DT'), ('result', 'NN'), (',', ','), ('the', 'DT'), ('ad', 'NN'), ('measure', 'NN'), ('includes', 'VBZ'), ('some', 'DT'), ('expenditures', 'NNS'), ('on', 'IN'), ('non-personal', 'JJ'), ('computer', 'NN'), ('systems', 'NNS'), ('intended', 'VBN'), ('for', 'IN'), ('non-home', 'JJ'), ('sectors', 'NNS'), ('.', '.')]
Dataset | Survey of Media and Markets | …consumer-level data come from the Survey of Media and markets conducted by simmons Market research Bureau which collects data on consumers' media habits, product usage, and demographics from about 20,000 households annually.i | [('…consumer-level', 'JJ'), ('data', 'NNS'), ('come', 'VBP'), ('from', 'IN'), ('the', 'DT'), ('Survey', 'NNP'), ('of', 'IN'), ('Media', 'NNP'), ('and', 'CC'), ('markets', 'NNS'), ('conducted', 'VBN'), ('by', 'IN'), ('simmons', 'NNS'), ('Market', 'NNP'), ('research', 'NN'), ('Bureau', 'NNP'), ('which', 'WDT'), ('collects', 'VBZ'), ('data', 'NNS'), ('on', 'IN'), ('consumers', 'NNS'), ("'", 'POS'), ('media', 'NNS'), ('habits', 'NNS'), (',', ','), ('product', 'NN'), ('usage', 'NN'), (',', ','), ('and', 'CC'), ('demographics', 'NNS'), ('from', 'IN'), ('about', 'IN'), ('20,000', 'CD'), ('households', 'NNS'), ('annually.i', 'RB')]
Dataset | Survey of Media and Markets | …ideally, one would have individual-level purchase, ad exposure, and demographic data, but unfortunately, these data are not available for the personal computer industry; however, the researcher is able to use this Simmons data to link demographics with purchases and to control for household variation in advertising media exposure for the years 1996 and 1997. | [('…ideally', 'RB'), (',', ','), ('one', 'CD'), ('would', 'MD'), ('have', 'VB'), ('individual-level', 'JJ'), ('purchase', 'NN'), (',', ','), ('ad', 'NN'), ('exposure', 'NN'), (',', ','), ('and', 'CC'), ('demographic', 'JJ'), ('data', 'NNS'), (',', ','), ('but', 'CC'), ('unfortunately', 'RB'), (',', ','), ('these', 'DT'), ('data', 'NNS'), ('are', 'VBP'), ('not', 'RB'), ('available', 'JJ'), ('for', 'IN'), ('the', 'DT'), ('personal', 'JJ'), ('computer', 'NN'), ('industry', 'NN'), (';', ':'), ('however', 'RB'), (',', ','), ('the', 'DT'), ('researcher', 'NN'), ('is', 'VBZ'), ('able', 'JJ'), ('to', 'TO'), ('use', 'VB'), ('this', 'DT'), ('Simmons', 'NNP'), ('data', 'NN'), ('to', 'TO'), ('link', 'VB'), ('demographics', 'NNS'), ('with', 'IN'), ('purchases', 'NNS'), ('and', 'CC'), ('to', 'TO'), ('control', 'VB'), ('for', 'IN'), ('household', 'NN'), ('variation', 'NN'), ('in', 'IN'), ('advertising', 'NN'), ('media', 'NNS'), ('exposure', 'NN'), ('for', 'IN'), ('the', 'DT'), ('years', 'NNS'), ('1996', 'CD'), ('and', 'CC'), ('1997', 'CD'), ('.', '.')]
Dataset | Survey of Media and Markets | …Simmons data respondents were asked about their media habits | [('…Simmons', 'NNS'), ('data', 'NNS'), ('respondents', 'NNS'), ('were', 'VBD'), ('asked', 'VBN'), ('about', 'IN'), ('their', 'PRP$'), ('media', 'NNS'), ('habits', 'NNS')]
Dataset | Survey of Media and Markets | …this data is combined with separate information on market shares and product characteristics, which enables the researcher to obtain a more precise picuture of how media exposure and demand are related. | [('…this', 'NN'), ('data', 'NNS'), ('is', 'VBZ'), ('combined', 'VBN'), ('with', 'IN'), ('separate', 'JJ'), ('information', 'NN'), ('on', 'IN'), ('market', 'NN'), ('shares', 'NNS'), ('and', 'CC'), ('product', 'NN'), ('characteristics', 'NNS'), (',', ','), ('which', 'WDT'), ('enables', 'VBZ'), ('the', 'DT'), ('researcher', 'NN'), ('to', 'TO'), ('obtain', 'VB'), ('a', 'DT'), ('more', 'RBR'), ('precise', 'JJ'), ('picuture', 'NN'), ('of', 'IN'), ('how', 'WRB'), ('media', 'NNS'), ('exposure', 'NN'), ('and', 'CC'), ('demand', 'NN'), ('are', 'VBP'), ('related', 'VBN'), ('.', '.')]
Dataset | Survey of Media and Markets | …the Simmons survey over samples in large metropolitan areas but this causes no estimation bias because residential location is treated as exogeneous. | [('…the', 'JJ'), ('Simmons', 'NNP'), ('survey', 'NN'), ('over', 'IN'), ('samples', 'NNS'), ('in', 'IN'), ('large', 'JJ'), ('metropolitan', 'JJ'), ('areas', 'NNS'), ('but', 'CC'), ('this', 'DT'), ('causes', 'VBZ'), ('no', 'DT'), ('estimation', 'NN'), ('bias', 'RB'), ('because', 'IN'), ('residential', 'JJ'), ('location', 'NN'), ('is', 'VBZ'), ('treated', 'VBN'), ('as', 'IN'), ('exogeneous', 'JJ'), ('.', '.')]
Dataset | Survey of Media and Markets | …to reduce the Simmons sample to a manageable size, the researcher selects 6,700 respondents randomly from each year resulting in a final sample size of 13,400. | [('…to', 'NN'), ('reduce', 'VB'), ('the', 'DT'), ('Simmons', 'NNP'), ('sample', 'NN'), ('to', 'TO'), ('a', 'DT'), ('manageable', 'JJ'), ('size', 'NN'), (',', ','), ('the', 'DT'), ('researcher', 'NN'), ('selects', 'VBZ'), ('6,700', 'CD'), ('respondents', 'NNS'), ('randomly', 'RB'), ('from', 'IN'), ('each', 'DT'), ('year', 'NN'), ('resulting', 'VBG'), ('in', 'IN'), ('a', 'DT'), ('final', 'JJ'), ('sample', 'NN'), ('size', 'NN'), ('of', 'IN'), ('13,400', 'CD'), ('.', '.')]
Dataset | Survey of Media and Markets | …collects information on personal computer onwership including whether the individual purchased in the past year and the manufacturer (respondents were not asked any specifics regarding their personal computer other than the manufacturers). | [('…collects', 'NNS'), ('information', 'NN'), ('on', 'IN'), ('personal', 'JJ'), ('computer', 'NN'), ('onwership', 'NN'), ('including', 'VBG'), ('whether', 'IN'), ('the', 'DT'), ('individual', 'NN'), ('purchased', 'VBD'), ('in', 'IN'), ('the', 'DT'), ('past', 'JJ'), ('year', 'NN'), ('and', 'CC'), ('the', 'DT'), ('manufacturer', 'NN'), ('(', '('), ('respondents', 'NNS'), ('were', 'VBD'), ('not', 'RB'), ('asked', 'VBN'), ('any', 'DT'), ('specifics', 'NNS'), ('regarding', 'VBG'), ('their', 'PRP$'), ('personal', 'JJ'), ('computer', 'NN'), ('other', 'JJ'), ('than', 'IN'), ('the', 'DT'), ('manufacturers', 'NNS'), (')', ')'), ('.', '.')]
Dataset | Current Population Survey | …data on the distribution of consumer characteristics from the Consumer Population Survey in the macromoments available from 1996 to 1998. | [('…data', 'NNS'), ('on', 'IN'), ('the', 'DT'), ('distribution', 'NN'), ('of', 'IN'), ('consumer', 'NN'), ('characteristics', 'NNS'), ('from', 'IN'), ('the', 'DT'), ('Consumer', 'NNP'), ('Population', 'NNP'), ('Survey', 'NNP'), ('in', 'IN'), ('the', 'DT'), ('macromoments', 'NNS'), ('available', 'JJ'), ('from', 'IN'), ('1996', 'CD'), ('to', 'TO'), ('1998', 'CD'), ('.', '.')]
Dataset | Current Population Survey | …for each year, 3,000 individuals are drawn from the March Current Population Survey. | [('…for', 'NNS'), ('each', 'DT'), ('year', 'NN'), (',', ','), ('3,000', 'CD'), ('individuals', 'NNS'), ('are', 'VBP'), ('drawn', 'VBN'), ('from', 'IN'), ('the', 'DT'), ('March', 'NNP'), ('Current', 'NNP'), ('Population', 'NNP'), ('Survey', 'NNP'), ('.', '.')]
Dataset | Current Population Survey | …households were dropped where annual income was below $5,000. | [('…households', 'NNS'), ('were', 'VBD'), ('dropped', 'VBN'), ('where', 'WRB'), ('annual', 'JJ'), ('income', 'NN'), ('was', 'VBD'), ('below', 'IN'), ('$', '$'), ('5,000', 'CD'), ('.', '.')]
Dataset | Survey of Media and Markets | …Simmons data indicate that no purchases were made by households with income below $5,000. | [('…Simmons', 'NNS'), ('data', 'NNS'), ('indicate', 'VBP'), ('that', 'IN'), ('no', 'DT'), ('purchases', 'NNS'), ('were', 'VBD'), ('made', 'VBN'), ('by', 'IN'), ('households', 'NNS'), ('with', 'IN'), ('income', 'NN'), ('below', 'IN'), ('$', '$'), ('5,000', 'CD'), ('.', '.')]
Dataset | Survey of Media and Markets | …used in order to identify the effectiveness of advertising media matrix and a larger set of demographic characteristics. | [('…used', 'VBN'), ('in', 'IN'), ('order', 'NN'), ('to', 'TO'), ('identify', 'VB'), ('the', 'DT'), ('effectiveness', 'NN'), ('of', 'IN'), ('advertising', 'NN'), ('media', 'NNS'), ('matrix', 'NN'), ('and', 'CC'), ('a', 'DT'), ('larger', 'JJR'), ('set', 'NN'), ('of', 'IN'), ('demographic', 'JJ'), ('characteristics', 'NNS'), ('.', '.')]
Dataset | Competitive Media Reporting | …this data consists of ad expenditures across ten media | [('…this', 'NN'), ('data', 'NNS'), ('consists', 'NNS'), ('of', 'IN'), ('ad', 'NN'), ('expenditures', 'NNS'), ('across', 'IN'), ('ten', 'JJ'), ('media', 'NNS')]
Dataset | Survey of Media and Markets | …there is a potential endogeneity problem in the microdata in that if a consumer with an a priori higher tendency to purchase a particular product chooses which media to consult in the decision process, then media exposure will be correlated with the unobservables; to the extent that exposure is driven by the intention to buy, exposure and purchase decisions will be correlated even if ad exposure has no impact on the purchase decision. | [('…there', 'EX'), ('is', 'VBZ'), ('a', 'DT'), ('potential', 'JJ'), ('endogeneity', 'NN'), ('problem', 'NN'), ('in', 'IN'), ('the', 'DT'), ('microdata', 'NN'), ('in', 'IN'), ('that', 'DT'), ('if', 'IN'), ('a', 'DT'), ('consumer', 'NN'), ('with', 'IN'), ('an', 'DT'), ('a', 'DT'), ('priori', 'FW'), ('higher', 'JJR'), ('tendency', 'NN'), ('to', 'TO'), ('purchase', 'VB'), ('a', 'DT'), ('particular', 'JJ'), ('product', 'NN'), ('chooses', 'VBZ'), ('which', 'WDT'), ('media', 'NNS'), ('to', 'TO'), ('consult', 'VB'), ('in', 'IN'), ('the', 'DT'), ('decision', 'NN'), ('process', 'NN'), (',', ','), ('then', 'RB'), ('media', 'NNS'), ('exposure', 'NN'), ('will', 'MD'), ('be', 'VB'), ('correlated', 'VBN'), ('with', 'IN'), ('the', 'DT'), ('unobservables', 'NNS'), (';', ':'), ('to', 'TO'), ('the', 'DT'), ('extent', 'NN'), ('that', 'IN'), ('exposure', 'NN'), ('is', 'VBZ'), ('driven', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('intention', 'NN'), ('to', 'TO'), ('buy', 'VB'), (',', ','), ('exposure', 'NN'), ('and', 'CC'), ('purchase', 'NN'), ('decisions', 'NNS'), ('will', 'MD'), ('be', 'VB'), ('correlated', 'VBN'), ('even', 'RB'), ('if', 'IN'), ('ad', 'NN'), ('exposure', 'NN'), ('has', 'VBZ'), ('no', 'DT'), ('impact', 'NN'), ('on', 'IN'), ('the', 'DT'), ('purchase', 'NN'), ('decision', 'NN'), ('.', '.')]
Dataset | Survey of Media and Markets | …the researcher tests for the exogeneity of media exposure using purchase and meida exposure data from Simmons. | [('…the', 'NN'), ('researcher', 'NN'), ('tests', 'NNS'), ('for', 'IN'), ('the', 'DT'), ('exogeneity', 'NN'), ('of', 'IN'), ('media', 'NNS'), ('exposure', 'NN'), ('using', 'VBG'), ('purchase', 'NN'), ('and', 'CC'), ('meida', 'NN'), ('exposure', 'NN'), ('data', 'NNS'), ('from', 'IN'), ('Simmons', 'NNP'), ('.', '.')]
Dataset | Survey of Media and Markets | …the extra information in the microdata allows variation in choices to mirror variation in tastes for product attributes. | [('…the', 'JJ'), ('extra', 'JJ'), ('information', 'NN'), ('in', 'IN'), ('the', 'DT'), ('microdata', 'NN'), ('allows', 'VBZ'), ('variation', 'NN'), ('in', 'IN'), ('choices', 'NNS'), ('to', 'TO'), ('mirror', 'VB'), ('variation', 'NN'), ('in', 'IN'), ('tastes', 'NNS'), ('for', 'IN'), ('product', 'NN'), ('attributes', 'NNS'), ('.', '.')]
Dataset | Competitive Media Reporting | …one major drawback of aggregate advertising data is that the variation across households cannot be observed. | [('…one', 'NN'), ('major', 'JJ'), ('drawback', 'NN'), ('of', 'IN'), ('aggregate', 'JJ'), ('advertising', 'NN'), ('data', 'NNS'), ('is', 'VBZ'), ('that', 'IN'), ('the', 'DT'), ('variation', 'NN'), ('across', 'IN'), ('households', 'NNS'), ('can', 'MD'), ('not', 'RB'), ('be', 'VB'), ('observed', 'VBN'), ('.', '.')]
Dataset | Survey of Media and Markets | …this data contains useful information on media exposure across households. | [('…this', 'NN'), ('data', 'NNS'), ('contains', 'VBZ'), ('useful', 'JJ'), ('information', 'NN'), ('on', 'IN'), ('media', 'NNS'), ('exposure', 'NN'), ('across', 'IN'), ('households', 'NNS'), ('.', '.')]
Dataset | Survey of Media and Markets | …the Simmons data allows the researcher to sidestep the need for observed advertising variation across households. | [('…the', 'JJ'), ('Simmons', 'NNP'), ('data', 'NN'), ('allows', 'VBZ'), ('the', 'DT'), ('researcher', 'NN'), ('to', 'TO'), ('sidestep', 'VB'), ('the', 'DT'), ('need', 'NN'), ('for', 'IN'), ('observed', 'JJ'), ('advertising', 'NN'), ('variation', 'NN'), ('across', 'IN'), ('households', 'NNS'), ('.', '.')]
Dataset | Competitive Media Reporting | …there is not enough variation in the advertising data to estimate parameter effects for all media separately and, in turn, these parameters are estimated for the television medium and for the combination of newspaper and magazine media. | [('…there', 'RB'), ('is', 'VBZ'), ('not', 'RB'), ('enough', 'JJ'), ('variation', 'NN'), ('in', 'IN'), ('the', 'DT'), ('advertising', 'NN'), ('data', 'NNS'), ('to', 'TO'), ('estimate', 'VB'), ('parameter', 'NN'), ('effects', 'NNS'), ('for', 'IN'), ('all', 'DT'), ('media', 'NNS'), ('separately', 'RB'), ('and', 'CC'), (',', ','), ('in', 'IN'), ('turn', 'NN'), (',', ','), ('these', 'DT'), ('parameters', 'NNS'), ('are', 'VBP'), ('estimated', 'VBN'), ('for', 'IN'), ('the', 'DT'), ('television', 'NN'), ('medium', 'NN'), ('and', 'CC'), ('for', 'IN'), ('the', 'DT'), ('combination', 'NN'), ('of', 'IN'), ('newspaper', 'NN'), ('and', 'CC'), ('magazine', 'NN'), ('media', 'NNS'), ('.', '.')]
Dataset | Gartner Inc. | …macro product data used in the first three sets of moments. | [('…macro', 'JJ'), ('product', 'NN'), ('data', 'NNS'), ('used', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('three', 'CD'), ('sets', 'NNS'), ('of', 'IN'), ('moments', 'NNS'), ('.', '.')]
Dataset | Competitive Media Reporting | …advertisng data used in the first three sets of moments. | [('…advertisng', 'NN'), ('data', 'NNS'), ('used', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('three', 'CD'), ('sets', 'NNS'), ('of', 'IN'), ('moments', 'NNS'), ('.', '.')]
Dataset | Current Population Survey | …consumer data used in the first three sets of moments. | [('…consumer', 'NN'), ('data', 'NNS'), ('used', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('three', 'CD'), ('sets', 'NNS'), ('of', 'IN'), ('moments', 'NNS'), ('.', '.')]
Dataset | Current Population Survey | …micro-consumer data used in the last two sets of moments. | [('…micro-consumer', 'JJ'), ('data', 'NNS'), ('used', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('last', 'JJ'), ('two', 'CD'), ('sets', 'NNS'), ('of', 'IN'), ('moments', 'NNS'), ('.', '.')]
Dataset | Survey of Media and Markets | …micro-consumer data used in the last two sets of moments. | [('…micro-consumer', 'JJ'), ('data', 'NNS'), ('used', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('last', 'JJ'), ('two', 'CD'), ('sets', 'NNS'), ('of', 'IN'), ('moments', 'NNS'), ('.', '.')]
Dataset | Survey of Media and Markets | …micro-firm choice data from Simmons is combined with macro product level data. | [('…micro-firm', 'JJ'), ('choice', 'NN'), ('data', 'NNS'), ('from', 'IN'), ('Simmons', 'NNP'), ('is', 'VBZ'), ('combined', 'VBN'), ('with', 'IN'), ('macro', 'JJ'), ('product', 'NN'), ('level', 'NN'), ('data', 'NNS'), ('.', '.')]
Dataset | Survey of Media and Markets | …this dat connects consumers to firms, thus associating consumer and average product attributes across firms,. | [('…this', 'JJ'), ('dat', 'NN'), ('connects', 'VBZ'), ('consumers', 'NNS'), ('to', 'TO'), ('firms', 'NNS'), (',', ','), ('thus', 'RB'), ('associating', 'VBG'), ('consumer', 'NN'), ('and', 'CC'), ('average', 'JJ'), ('product', 'NN'), ('attributes', 'VBZ'), ('across', 'IN'), ('firms', 'NNS'), (',', ','), ('.', '.')]
Dataset | Survey of Media and Markets | …Simmons respondents were ranked according to how often they watched television, read newspapers, and so forth relative to others in the surveyed population. | [('…Simmons', 'NNS'), ('respondents', 'NNS'), ('were', 'VBD'), ('ranked', 'VBN'), ('according', 'VBG'), ('to', 'TO'), ('how', 'WRB'), ('often', 'RB'), ('they', 'PRP'), ('watched', 'VBD'), ('television', 'NN'), (',', ','), ('read', 'JJ'), ('newspapers', 'NNS'), (',', ','), ('and', 'CC'), ('so', 'RB'), ('forth', 'JJ'), ('relative', 'JJ'), ('to', 'TO'), ('others', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('surveyed', 'VBN'), ('population', 'NN'), ('.', '.')]
Dataset | Survey of Media and Markets | …gives ranges of respondents' answers, but the survey reports only the quintile to which the consumer belongs. | [('…gives', 'NNS'), ('ranges', 'NNS'), ('of', 'IN'), ('respondents', 'NNS'), ("'", 'POS'), ('answers', 'NNS'), (',', ','), ('but', 'CC'), ('the', 'DT'), ('survey', 'NN'), ('reports', 'VBZ'), ('only', 'RB'), ('the', 'DT'), ('quintile', 'NN'), ('to', 'TO'), ('which', 'WDT'), ('the', 'DT'), ('consumer', 'NN'), ('belongs', 'NNS'), ('.', '.')]
Dataset | Survey of Media and Markets | …Simmons data are annual, so the outermost summand is over all products sold by each firm over the year. | [('…Simmons', 'NNS'), ('data', 'NNS'), ('are', 'VBP'), ('annual', 'JJ'), (',', ','), ('so', 'IN'), ('the', 'DT'), ('outermost', 'NN'), ('summand', 'NN'), ('is', 'VBZ'), ('over', 'IN'), ('all', 'DT'), ('products', 'NNS'), ('sold', 'VBN'), ('by', 'IN'), ('each', 'DT'), ('firm', 'NN'), ('over', 'IN'), ('the', 'DT'), ('year', 'NN'), ('.', '.')]
Dataset | Current Population Survey | …used to derive demographic characteriscs, drawn from the Current Population Survey for use in the macromoments. | [('…used', 'VBN'), ('to', 'TO'), ('derive', 'VB'), ('demographic', 'JJ'), ('characteriscs', 'NN'), (',', ','), ('drawn', 'NN'), ('from', 'IN'), ('the', 'DT'), ('Current', 'NNP'), ('Population', 'NNP'), ('Survey', 'NNP'), ('for', 'IN'), ('use', 'NN'), ('in', 'IN'), ('the', 'DT'), ('macromoments', 'NNS'), ('.', '.')]
